record_id,group_id,split
emscad_00001,group_00001,train
emscad_00002,group_00002,train
emscad_00003,group_00003,train
emscad_00004,group_00004,train
emscad_00008,group_00008,train
emscad_00009,group_00009,train
emscad_00010,group_00010,train
emscad_00011,group_00011,train
emscad_00013,group_00013,train
emscad_00014,group_00014,train
emscad_00015,group_00015,train
emscad_00016,group_00016,train
emscad_00017,group_00017,train
emscad_00022,group_00022,train
emscad_00023,group_00023,train
emscad_00025,group_00025,train
emscad_00026,group_00026,train
emscad_00027,group_00027,train
emscad_00029,group_00029,train
emscad_00031,group_00031,train
emscad_00032,group_00032,train
emscad_00033,group_00033,train
emscad_00034,group_00034,train
emscad_00035,group_00035,train
emscad_00037,group_00037,train
emscad_00038,group_00038,train
emscad_00039,group_00039,train
emscad_00040,group_00040,train
emscad_00044,group_00042,train
emscad_00048,group_00046,train
emscad_00051,group_00048,train
emscad_00052,group_00049,train
emscad_00054,group_00051,train
emscad_00055,group_00052,train
emscad_00056,group_00053,train
emscad_00058,group_00055,train
emscad_00059,group_00056,train
emscad_00061,group_00058,train
emscad_00064,group_00060,train
emscad_00065,group_00061,train
emscad_00066,group_00062,train
emscad_00068,group_00064,train
emscad_00069,group_00065,train
emscad_00070,group_00066,train
emscad_00071,group_00067,train
emscad_00073,group_00010,train
emscad_00074,group_00069,train
emscad_00075,group_00070,train
emscad_00076,group_00071,train
emscad_00077,group_00072,train
emscad_00078,group_00073,train
emscad_00079,group_00074,train
emscad_00080,group_00075,train
emscad_00082,group_00076,train
emscad_00086,group_00079,train
emscad_00087,group_00080,train
emscad_00088,group_00081,train
emscad_00089,group_00082,train
emscad_00092,group_00084,train
emscad_00096,group_00088,train
emscad_00097,group_00089,train
emscad_00098,group_00090,train
emscad_00103,group_00093,train
emscad_00104,group_00010,train
emscad_00106,group_00095,train
emscad_00107,group_00096,train
emscad_00108,group_00097,train
emscad_00109,group_00098,train
emscad_00110,group_00099,train
emscad_00111,group_00100,train
emscad_00112,group_00101,train
emscad_00113,group_00010,train
emscad_00115,group_00103,train
emscad_00116,group_00104,train
emscad_00117,group_00105,train
emscad_00119,group_00107,train
emscad_00126,group_00111,train
emscad_00127,group_00112,train
emscad_00129,group_00114,train
emscad_00130,group_00115,train
emscad_00131,group_00116,train
emscad_00132,group_00117,train
emscad_00133,group_00118,train
emscad_00138,group_00121,train
emscad_00143,group_00123,train
emscad_00144,group_00124,train
emscad_00146,group_00126,train
emscad_00148,group_00127,train
emscad_00151,group_00130,train
emscad_00154,group_00132,train
emscad_00156,group_00134,train
emscad_00161,group_00138,train
emscad_00162,group_00139,train
emscad_00164,group_00141,train
emscad_00165,group_00142,train
emscad_00166,group_00143,train
emscad_00167,group_00144,train
emscad_00168,group_00145,train
emscad_00169,group_00146,train
emscad_00170,group_00147,train
emscad_00172,group_00149,train
emscad_00173,group_00150,train
emscad_00174,group_00151,train
emscad_00175,group_00152,train
emscad_00176,group_00010,train
emscad_00179,group_00154,train
emscad_00183,group_00157,train
emscad_00185,group_00159,train
emscad_00186,group_00160,train
emscad_00187,group_00161,train
emscad_00192,group_00163,train
emscad_00194,group_00165,train
emscad_00195,group_00166,train
emscad_00196,group_00167,train
emscad_00198,group_00168,train
emscad_00199,group_00169,train
emscad_00200,group_00170,train
emscad_00202,group_00172,train
emscad_00204,group_00173,train
emscad_00205,group_00174,train
emscad_00206,group_00175,train
emscad_00207,group_00176,train
emscad_00211,group_00178,train
emscad_00213,group_00046,train
emscad_00215,group_00180,train
emscad_00216,group_00181,train
emscad_00218,group_00182,train
emscad_00220,group_00184,train
emscad_00221,group_00185,train
emscad_00222,group_00186,train
emscad_00223,group_00187,train
emscad_00226,group_00189,train
emscad_00228,group_00190,train
emscad_00236,group_00195,train
emscad_00237,group_00196,train
emscad_00239,group_00197,train
emscad_00240,group_00198,train
emscad_00242,group_00199,train
emscad_00244,group_00201,train
emscad_00245,group_00202,train
emscad_00246,group_00169,train
emscad_00248,group_00203,train
emscad_00249,group_00204,train
emscad_00250,group_00205,train
emscad_00253,group_00208,train
emscad_00255,group_00127,train
emscad_00256,group_00209,train
emscad_00257,group_00210,train
emscad_00258,group_00211,train
emscad_00259,group_00212,train
emscad_00263,group_00216,train
emscad_00264,group_00217,train
emscad_00266,group_00219,train
emscad_00267,group_00220,train
emscad_00269,group_00221,train
emscad_00271,group_00222,train
emscad_00272,group_00223,train
emscad_00273,group_00224,train
emscad_00275,group_00225,train
emscad_00276,group_00226,train
emscad_00277,group_00227,train
emscad_00278,group_00228,train
emscad_00280,group_00229,train
emscad_00284,group_00232,train
emscad_00286,group_00233,train
emscad_00287,group_00234,train
emscad_00288,group_00235,train
emscad_00291,group_00238,train
emscad_00292,group_00239,train
emscad_00294,group_00240,train
emscad_00295,group_00241,train
emscad_00296,group_00242,train
emscad_00297,group_00243,train
emscad_00298,group_00244,train
emscad_00299,group_00245,train
emscad_00300,group_00246,train
emscad_00302,group_00248,train
emscad_00304,group_00250,train
emscad_00305,group_00251,train
emscad_00307,group_00252,train
emscad_00308,group_00253,train
emscad_00309,group_00254,train
emscad_00311,group_00255,train
emscad_00312,group_00256,train
emscad_00315,group_00258,train
emscad_00316,group_00259,train
emscad_00317,group_00260,train
emscad_00318,group_00261,train
emscad_00319,group_00262,train
emscad_00320,group_00263,train
emscad_00321,group_00264,train
emscad_00322,group_00265,train
emscad_00324,group_00267,train
emscad_00325,group_00268,train
emscad_00326,group_00269,train
emscad_00328,group_00270,train
emscad_00331,group_00037,train
emscad_00333,group_00273,train
emscad_00334,group_00274,train
emscad_00335,group_00275,train
emscad_00336,group_00276,train
emscad_00338,group_00278,train
emscad_00340,group_00279,train
emscad_00341,group_00280,train
emscad_00342,group_00281,train
emscad_00344,group_00283,train
emscad_00346,group_00284,train
emscad_00347,group_00285,train
emscad_00349,group_00286,train
emscad_00350,group_00287,train
emscad_00352,group_00289,train
emscad_00353,group_00290,train
emscad_00354,group_00291,train
emscad_00355,group_00292,train
emscad_00356,group_00293,train
emscad_00357,group_00080,train
emscad_00359,group_00295,train
emscad_00360,group_00296,train
emscad_00361,group_00297,train
emscad_00363,group_00299,train
emscad_00364,group_00300,train
emscad_00365,group_00301,train
emscad_00367,group_00302,train
emscad_00368,group_00303,train
emscad_00369,group_00304,train
emscad_00371,group_00306,train
emscad_00372,group_00307,train
emscad_00373,group_00308,train
emscad_00374,group_00309,train
emscad_00375,group_00310,train
emscad_00376,group_00076,train
emscad_00377,group_00311,train
emscad_00378,group_00312,train
emscad_00381,group_00315,train
emscad_00384,group_00318,train
emscad_00385,group_00319,train
emscad_00386,group_00320,train
emscad_00388,group_00321,train
emscad_00389,group_00322,train
emscad_00390,group_00323,train
emscad_00391,group_00324,train
emscad_00392,group_00325,train
emscad_00395,group_00328,train
emscad_00396,group_00329,train
emscad_00398,group_00331,train
emscad_00399,group_00332,train
emscad_00400,group_00333,train
emscad_00401,group_00334,train
emscad_00404,group_00336,train
emscad_00405,group_00337,train
emscad_00407,group_00339,train
emscad_00408,group_00340,train
emscad_00409,group_00252,train
emscad_00410,group_00341,train
emscad_00411,group_00342,train
emscad_00412,group_00343,train
emscad_00414,group_00345,train
emscad_00416,group_00347,train
