bert_low_threshold,meets_90pct_target,rows,fraudulent,legitimate,low_total,low_fraud,low_legitimate,suspicious_total,suspicious_fraud,suspicious_legitimate,high_total,high_fraud,high_legitimate,non_low_fraud,non_low_fraud_recall
1e-05,True,1431,69,1362,0,0,0,1370,11,1359,61,58,3,69,1.0
2e-05,True,1431,69,1362,0,0,0,1370,11,1359,61,58,3,69,1.0
3e-05,True,1431,69,1362,0,0,0,1370,11,1359,61,58,3,69,1.0
4e-05,True,1431,69,1362,0,0,0,1370,11,1359,61,58,3,69,1.0
5e-05,True,1431,69,1362,0,0,0,1370,11,1359,61,58,3,69,1.0
6e-05,True,1431,69,1362,0,0,0,1370,11,1359,61,58,3,69,1.0
7e-05,True,1431,69,1362,0,0,0,1370,11,1359,61,58,3,69,1.0
8e-05,True,1431,69,1362,117,0,117,1253,11,1242,61,58,3,69,1.0
9e-05,True,1431,69,1362,501,0,501,869,11,858,61,58,3,69,1.0
0.0001,True,1431,69,1362,680,1,679,690,10,680,61,58,3,68,0.9855072463768116
0.00011,True,1431,69,1362,801,1,800,569,10,559,61,58,3,68,0.9855072463768116
0.00012,True,1431,69,1362,878,2,876,492,9,483,61,58,3,67,0.9710144927536232
0.00013,True,1431,69,1362,930,2,928,440,9,431,61,58,3,67,0.9710144927536232
0.00014,True,1431,69,1362,959,2,957,411,9,402,61,58,3,67,0.9710144927536232
0.00015,True,1431,69,1362,991,2,989,379,9,370,61,58,3,67,0.9710144927536232
0.00016,True,1431,69,1362,1021,2,1019,349,9,340,61,58,3,67,0.9710144927536232
0.00017,True,1431,69,1362,1033,2,1031,337,9,328,61,58,3,67,0.9710144927536232
0.00018,True,1431,69,1362,1043,2,1041,327,9,318,61,58,3,67,0.9710144927536232
0.00019,True,1431,69,1362,1059,3,1056,311,8,303,61,58,3,66,0.9565217391304348
0.0002,True,1431,69,1362,1082,4,1078,288,7,281,61,58,3,65,0.9420289855072463
0.00021,True,1431,69,1362,1092,4,1088,278,7,271,61,58,3,65,0.9420289855072463
0.00022,True,1431,69,1362,1099,4,1095,271,7,264,61,58,3,65,0.9420289855072463
0.00023,True,1431,69,1362,1108,4,1104,262,7,255,61,58,3,65,0.9420289855072463
0.00024,True,1431,69,1362,1119,4,1115,251,7,244,61,58,3,65,0.9420289855072463
0.00025,True,1431,69,1362,1127,4,1123,243,7,236,61,58,3,65,0.9420289855072463
0.00026,True,1431,69,1362,1138,4,1134,232,7,225,61,58,3,65,0.9420289855072463
0.00027,True,1431,69,1362,1141,4,1137,229,7,222,61,58,3,65,0.9420289855072463
0.00028,True,1431,69,1362,1149,4,1145,221,7,214,61,58,3,65,0.9420289855072463
0.00029,True,1431,69,1362,1154,4,1150,216,7,209,61,58,3,65,0.9420289855072463
0.0003,True,1431,69,1362,1155,4,1151,215,7,208,61,58,3,65,0.9420289855072463
0.00031,True,1431,69,1362,1162,4,1158,208,7,201,61,58,3,65,0.9420289855072463
0.00032,True,1431,69,1362,1169,4,1165,201,7,194,61,58,3,65,0.9420289855072463
0.00033,True,1431,69,1362,1171,4,1167,199,7,192,61,58,3,65,0.9420289855072463
0.00034,True,1431,69,1362,1178,4,1174,192,7,185,61,58,3,65,0.9420289855072463
0.00035,True,1431,69,1362,1181,4,1177,189,7,182,61,58,3,65,0.9420289855072463
0.00036,True,1431,69,1362,1189,4,1185,181,7,174,61,58,3,65,0.9420289855072463
0.00037,True,1431,69,1362,1195,4,1191,175,7,168,61,58,3,65,0.9420289855072463
0.00038,True,1431,69,1362,1199,4,1195,171,7,164,61,58,3,65,0.9420289855072463
0.00039,True,1431,69,1362,1202,4,1198,168,7,161,61,58,3,65,0.9420289855072463
0.0004,True,1431,69,1362,1207,4,1203,163,7,156,61,58,3,65,0.9420289855072463
0.00041,True,1431,69,1362,1208,4,1204,162,7,155,61,58,3,65,0.9420289855072463
0.00042,True,1431,69,1362,1215,4,1211,155,7,148,61,58,3,65,0.9420289855072463
0.00043,True,1431,69,1362,1217,5,1212,153,6,147,61,58,3,64,0.927536231884058
0.00044,True,1431,69,1362,1217,5,1212,153,6,147,61,58,3,64,0.927536231884058
0.00045,True,1431,69,1362,1219,5,1214,151,6,145,61,58,3,64,0.927536231884058
0.00046,True,1431,69,1362,1221,5,1216,149,6,143,61,58,3,64,0.927536231884058
0.00047,True,1431,69,1362,1222,5,1217,148,6,142,61,58,3,64,0.927536231884058
0.00048,True,1431,69,1362,1224,5,1219,146,6,140,61,58,3,64,0.927536231884058
0.00049,True,1431,69,1362,1225,5,1220,145,6,139,61,58,3,64,0.927536231884058
0.0005,True,1431,69,1362,1226,5,1221,144,6,138,61,58,3,64,0.927536231884058
0.00051,True,1431,69,1362,1229,5,1224,141,6,135,61,58,3,64,0.927536231884058
0.00052,True,1431,69,1362,1232,5,1227,138,6,132,61,58,3,64,0.927536231884058
0.00053,True,1431,69,1362,1232,5,1227,138,6,132,61,58,3,64,0.927536231884058
0.00054,True,1431,69,1362,1235,5,1230,135,6,129,61,58,3,64,0.927536231884058
0.00055,True,1431,69,1362,1237,5,1232,133,6,127,61,58,3,64,0.927536231884058
0.00056,True,1431,69,1362,1238,5,1233,132,6,126,61,58,3,64,0.927536231884058
0.00057,True,1431,69,1362,1242,5,1237,128,6,122,61,58,3,64,0.927536231884058
0.00058,True,1431,69,1362,1244,5,1239,126,6,120,61,58,3,64,0.927536231884058
0.00059,True,1431,69,1362,1244,5,1239,126,6,120,61,58,3,64,0.927536231884058
0.0006,True,1431,69,1362,1245,5,1240,125,6,119,61,58,3,64,0.927536231884058
0.00061,True,1431,69,1362,1248,6,1242,122,5,117,61,58,3,63,0.9130434782608695
0.00062,True,1431,69,1362,1249,6,1243,121,5,116,61,58,3,63,0.9130434782608695
0.00063,True,1431,69,1362,1251,6,1245,119,5,114,61,58,3,63,0.9130434782608695
0.00064,True,1431,69,1362,1252,6,1246,118,5,113,61,58,3,63,0.9130434782608695
0.00065,True,1431,69,1362,1253,6,1247,117,5,112,61,58,3,63,0.9130434782608695
0.00066,True,1431,69,1362,1256,6,1250,114,5,109,61,58,3,63,0.9130434782608695
0.00067,True,1431,69,1362,1256,6,1250,114,5,109,61,58,3,63,0.9130434782608695
0.00068,True,1431,69,1362,1260,6,1254,110,5,105,61,58,3,63,0.9130434782608695
0.00069,True,1431,69,1362,1262,6,1256,108,5,103,61,58,3,63,0.9130434782608695
0.0007,True,1431,69,1362,1265,6,1259,105,5,100,61,58,3,63,0.9130434782608695
0.00071,True,1431,69,1362,1265,6,1259,105,5,100,61,58,3,63,0.9130434782608695
0.00072,True,1431,69,1362,1265,6,1259,105,5,100,61,58,3,63,0.9130434782608695
0.00073,True,1431,69,1362,1267,6,1261,103,5,98,61,58,3,63,0.9130434782608695
0.00074,True,1431,69,1362,1267,6,1261,103,5,98,61,58,3,63,0.9130434782608695
0.00075,True,1431,69,1362,1269,6,1263,101,5,96,61,58,3,63,0.9130434782608695
0.00076,True,1431,69,1362,1269,6,1263,101,5,96,61,58,3,63,0.9130434782608695
0.00077,True,1431,69,1362,1270,6,1264,100,5,95,61,58,3,63,0.9130434782608695
0.00078,True,1431,69,1362,1271,6,1265,99,5,94,61,58,3,63,0.9130434782608695
0.00079,True,1431,69,1362,1271,6,1265,99,5,94,61,58,3,63,0.9130434782608695
0.0008,True,1431,69,1362,1271,6,1265,99,5,94,61,58,3,63,0.9130434782608695
0.00081,True,1431,69,1362,1272,6,1266,98,5,93,61,58,3,63,0.9130434782608695
0.00082,True,1431,69,1362,1274,6,1268,96,5,91,61,58,3,63,0.9130434782608695
0.00083,True,1431,69,1362,1274,6,1268,96,5,91,61,58,3,63,0.9130434782608695
0.00084,True,1431,69,1362,1276,6,1270,94,5,89,61,58,3,63,0.9130434782608695
0.00085,True,1431,69,1362,1276,6,1270,94,5,89,61,58,3,63,0.9130434782608695
0.00086,True,1431,69,1362,1277,6,1271,93,5,88,61,58,3,63,0.9130434782608695
0.00087,True,1431,69,1362,1279,6,1273,91,5,86,61,58,3,63,0.9130434782608695
0.00088,True,1431,69,1362,1279,6,1273,91,5,86,61,58,3,63,0.9130434782608695
0.00089,True,1431,69,1362,1281,6,1275,89,5,84,61,58,3,63,0.9130434782608695
0.0009,True,1431,69,1362,1282,6,1276,88,5,83,61,58,3,63,0.9130434782608695
0.00091,True,1431,69,1362,1282,6,1276,88,5,83,61,58,3,63,0.9130434782608695
0.00092,True,1431,69,1362,1282,6,1276,88,5,83,61,58,3,63,0.9130434782608695
0.00093,True,1431,69,1362,1283,6,1277,87,5,82,61,58,3,63,0.9130434782608695
0.00094,True,1431,69,1362,1283,6,1277,87,5,82,61,58,3,63,0.9130434782608695
0.00095,True,1431,69,1362,1283,6,1277,87,5,82,61,58,3,63,0.9130434782608695
0.00096,True,1431,69,1362,1287,6,1281,83,5,78,61,58,3,63,0.9130434782608695
0.00097,True,1431,69,1362,1289,6,1283,81,5,76,61,58,3,63,0.9130434782608695
0.00098,True,1431,69,1362,1289,6,1283,81,5,76,61,58,3,63,0.9130434782608695
0.00099,True,1431,69,1362,1291,6,1285,79,5,74,61,58,3,63,0.9130434782608695
0.001,True,1431,69,1362,1291,6,1285,79,5,74,61,58,3,63,0.9130434782608695
0.0011,True,1431,69,1362,1296,6,1290,74,5,69,61,58,3,63,0.9130434782608695
0.0012,True,1431,69,1362,1301,6,1295,69,5,64,61,58,3,63,0.9130434782608695
