threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.01,0.7380952380952381,0.8985507246376812,0.8104575163398693,22,7,1340,62,0.8998762295615921,0.9797344514325647
0.02,0.7922077922077922,0.8840579710144928,0.8356164383561644,16,8,1346,61,0.9133899570278613,0.9832285115303984
0.03,0.8026315789473685,0.8840579710144928,0.8413793103448276,15,8,1347,61,0.9164570456766464,0.983927323549965
0.04,0.8194444444444444,0.855072463768116,0.8368794326241135,13,10,1349,59,0.9142133289544676,0.983927323549965
0.05,0.8169014084507042,0.8405797101449275,0.8285714285714286,13,11,1349,58,0.9098771911409678,0.9832285115303984
0.06,0.8169014084507042,0.8405797101449275,0.8285714285714286,13,11,1349,58,0.9098771911409678,0.9832285115303984
0.07,0.8285714285714286,0.8405797101449275,0.8345323741007195,12,11,1350,58,0.9130429039067681,0.983927323549965
0.08,0.8260869565217391,0.8260869565217391,0.8260869565217391,12,12,1350,57,0.9086381919172573,0.9832285115303984
0.09,0.8382352941176471,0.8260869565217391,0.8321167883211679,11,12,1351,57,0.9118382106743455,0.983927323549965
0.1,0.8382352941176471,0.8260869565217391,0.8321167883211679,11,12,1351,57,0.9118382106743455,0.983927323549965
0.11,0.8507462686567164,0.8260869565217391,0.8382352941176471,10,12,1352,57,0.9150824306244876,0.9846261355695318
0.12,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.13,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.14,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.15,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.16,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.17,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.18,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.19,0.8484848484848485,0.8115942028985508,0.8296296296296296,10,13,1352,56,0.9105977264393106,0.983927323549965
0.2,0.8615384615384616,0.8115942028985508,0.835820895522388,9,13,1353,56,0.9138781896966779,0.9846261355695318
0.21,0.8615384615384616,0.8115942028985508,0.835820895522388,9,13,1353,56,0.9138781896966779,0.9846261355695318
0.22,0.8615384615384616,0.8115942028985508,0.835820895522388,9,13,1353,56,0.9138781896966779,0.9846261355695318
0.23,0.8615384615384616,0.8115942028985508,0.835820895522388,9,13,1353,56,0.9138781896966779,0.9846261355695318
0.24,0.859375,0.7971014492753623,0.8270676691729323,9,14,1353,55,0.9093198367850737,0.983927323549965
0.25,0.859375,0.7971014492753623,0.8270676691729323,9,14,1353,55,0.9093198367850737,0.983927323549965
0.26,0.859375,0.7971014492753623,0.8270676691729323,9,14,1353,55,0.9093198367850737,0.983927323549965
0.27,0.859375,0.7971014492753623,0.8270676691729323,9,14,1353,55,0.9093198367850737,0.983927323549965
0.28,0.859375,0.7971014492753623,0.8270676691729323,9,14,1353,55,0.9093198367850737,0.983927323549965
0.29,0.859375,0.7971014492753623,0.8270676691729323,9,14,1353,55,0.9093198367850737,0.983927323549965
0.3,0.859375,0.7971014492753623,0.8270676691729323,9,14,1353,55,0.9093198367850737,0.983927323549965
0.31,0.873015873015873,0.7971014492753623,0.8333333333333334,8,14,1354,55,0.9126373626373627,0.9846261355695318
0.32,0.873015873015873,0.7971014492753623,0.8333333333333334,8,14,1354,55,0.9126373626373627,0.9846261355695318
0.33,0.873015873015873,0.7971014492753623,0.8333333333333334,8,14,1354,55,0.9126373626373627,0.9846261355695318
0.34,0.873015873015873,0.7971014492753623,0.8333333333333334,8,14,1354,55,0.9126373626373627,0.9846261355695318
0.35,0.873015873015873,0.7971014492753623,0.8333333333333334,8,14,1354,55,0.9126373626373627,0.9846261355695318
0.36,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.37,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.38,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.39,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.4,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.41,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.42,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.43,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.44,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.45,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.46,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.47,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.48,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.49,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.5,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.51,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.52,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.53,0.8870967741935484,0.7971014492753623,0.8396946564885496,7,14,1355,55,0.9160025827298113,0.9853249475890985
0.54,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.55,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.56,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.57,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.58,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.59,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.6,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.61,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.62,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.63,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.64,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.65,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.66,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.67,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.68,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.69,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.7,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.71,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.72,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.73,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.74,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.75,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.76,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.77,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.78,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.79,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.8,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.81,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.82,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.83,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.84,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.85,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.86,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.87,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.88,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.89,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.9,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.91,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.92,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.93,0.9016393442622951,0.7971014492753623,0.8461538461538461,6,14,1356,55,0.9194166009685776,0.9860237596086653
0.94,0.9166666666666666,0.7971014492753623,0.8527131782945736,5,14,1357,55,0.9228805554846451,0.986722571628232
0.95,0.9166666666666666,0.7971014492753623,0.8527131782945736,5,14,1357,55,0.9228805554846451,0.986722571628232
0.96,0.9166666666666666,0.7971014492753623,0.8527131782945736,5,14,1357,55,0.9228805554846451,0.986722571628232
0.97,0.9152542372881356,0.782608695652174,0.84375,5,15,1357,54,0.9182173555230432,0.9860237596086653
0.98,0.9152542372881356,0.782608695652174,0.84375,5,15,1357,54,0.9182173555230432,0.9860237596086653
0.99,0.9473684210526315,0.782608695652174,0.8571428571428571,3,15,1359,54,0.925281954887218,0.9874213836477987
