threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.01,0.8026315789473685,0.8840579710144928,0.8413793103448276,15,8,1347,61,0.9164570456766464,0.983927323549965
0.02,0.8450704225352113,0.8695652173913043,0.8571428571428571,11,9,1351,60,0.9248976592841398,0.9860237596086653
0.03,0.8695652173913043,0.8695652173913043,0.8695652173913043,9,9,1353,60,0.9314786439379429,0.9874213836477987
0.04,0.8805970149253731,0.855072463768116,0.8676470588235294,8,10,1354,59,0.9305219886927625,0.9874213836477987
0.05,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.06,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.07,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.08,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.09,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.1,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.11,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.12,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.13,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.14,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.15,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.16,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.17,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.18,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.19,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.2,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.21,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.22,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.23,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.24,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.25,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.26,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.27,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.28,0.90625,0.8405797101449275,0.8721804511278195,6,11,1356,58,0.9329755315367936,0.9881201956673655
0.29,0.90625,0.8405797101449275,0.8721804511278195,6,11,1356,58,0.9329755315367936,0.9881201956673655
0.3,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.31,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.32,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
