threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.01,0.5596330275229358,0.8840579710144928,0.6853932584269663,48,8,1314,61,0.8322644384534235,0.9608665269042628
0.02,0.7176470588235294,0.8840579710144928,0.7922077922077922,24,8,1338,61,0.8901954766061118,0.9776380153738644
0.03,0.8133333333333334,0.8840579710144928,0.8472222222222222,14,8,1348,61,0.9195640176600441,0.9846261355695318
0.04,0.8450704225352113,0.8695652173913043,0.8571428571428571,11,9,1351,60,0.9248976592841398,0.9860237596086653
0.05,0.8450704225352113,0.8695652173913043,0.8571428571428571,11,9,1351,60,0.9248976592841398,0.9860237596086653
0.06,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.07,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.08,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.09,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.1,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.11,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.12,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.13,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.14,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.15,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.16,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.17,0.8823529411764706,0.8695652173913043,0.8759124087591241,8,9,1354,60,0.9348369383245162,0.9881201956673655
0.18,0.8955223880597015,0.8695652173913043,0.8823529411764706,7,9,1355,60,0.9382417677268999,0.9888190076869322
0.19,0.8955223880597015,0.8695652173913043,0.8823529411764706,7,9,1355,60,0.9382417677268999,0.9888190076869322
0.2,0.8955223880597015,0.8695652173913043,0.8823529411764706,7,9,1355,60,0.9382417677268999,0.9888190076869322
0.21,0.8955223880597015,0.8695652173913043,0.8823529411764706,7,9,1355,60,0.9382417677268999,0.9888190076869322
0.22,0.8955223880597015,0.8695652173913043,0.8823529411764706,7,9,1355,60,0.9382417677268999,0.9888190076869322
0.23,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.24,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.25,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.26,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.27,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.28,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.29,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.3,0.8939393939393939,0.855072463768116,0.8740740740740741,7,10,1355,59,0.9339200586725339,0.9881201956673655
0.31,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.32,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.33,0.9076923076923077,0.855072463768116,0.8805970149253731,6,10,1356,59,0.9373659561430385,0.9888190076869322
0.34,0.921875,0.855072463768116,0.8872180451127819,5,10,1357,59,0.9408607631207002,0.989517819706499
0.35,0.921875,0.855072463768116,0.8872180451127819,5,10,1357,59,0.9408607631207002,0.989517819706499
0.36,0.921875,0.855072463768116,0.8872180451127819,5,10,1357,59,0.9408607631207002,0.989517819706499
0.37,0.9206349206349206,0.8405797101449275,0.8787878787878788,5,11,1357,58,0.9364635364635365,0.9888190076869322
0.38,0.9206349206349206,0.8405797101449275,0.8787878787878788,5,11,1357,58,0.9364635364635365,0.9888190076869322
0.39,0.9206349206349206,0.8405797101449275,0.8787878787878788,5,11,1357,58,0.9364635364635365,0.9888190076869322
0.4,0.9206349206349206,0.8405797101449275,0.8787878787878788,5,11,1357,58,0.9364635364635365,0.9888190076869322
0.41,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.42,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.43,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.44,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.45,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.46,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.47,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.48,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
0.49,0.9354838709677419,0.8405797101449275,0.8854961832061069,4,11,1358,58,0.940001844807008,0.989517819706499
