condition,condition_label,seed,best_epoch,threshold,training_time_sec,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1
A,A: no dedup + stratified random split,0,3,0.65,1242.2969736999999,0.9248429592823771,0.9861375693272245,0.9888143176733781,0.9385964912280702,0.823076923076923,0.8770491803278688,0.9355949026639344,0.9884650516191733
A,A: no dedup + stratified random split,1,5,0.95,1259.5995647999998,0.8990540345353819,0.9815107306486617,0.9880686055182699,0.9016393442622951,0.8461538461538461,0.873015873015873,0.9333780460541024,0.9878885542936967
A,A: no dedup + stratified random split,2,3,0.8,1236.7415407999997,0.9194840294204041,0.9841828430190499,0.9888143176733781,0.9629629629629629,0.8,0.8739495798319328,0.9340485316249012,0.9883213359659042
A,A: no dedup + stratified random split,3,5,0.05,1271.7973046999996,0.8947266829361894,0.9899159030624549,0.9869500372856077,0.8861788617886179,0.8384615384615385,0.8616600790513834,0.927406052047703,0.9867784407863632
A,A: no dedup + stratified random split,4,5,0.05,1272.1349200000004,0.8918554143160742,0.975743006993007,0.9865771812080537,0.8916666666666667,0.823076923076923,0.856,0.9244802502933125,0.986321848432911
A,A: no dedup + stratified random split,5,4,0.3,1252.904353,0.8675357539699415,0.9792575958524234,0.9891871737509321,0.8976377952755905,0.8769230769230769,0.8871595330739299,0.9407405262784962,0.9891272397540589
A,A: no dedup + stratified random split,6,3,0.65,1234.283577600001,0.8880526839289259,0.9760760790933204,0.9876957494407159,0.9145299145299145,0.823076923076923,0.8663967611336032,0.9299738349345952,0.9873875831620385
A,A: no dedup + stratified random split,7,5,0.75,1253.3896072999996,0.8773124928185371,0.9724333855799373,0.9858314690529456,0.9339622641509434,0.7615384615384615,0.8389830508474576,0.9157863772178005,0.9851441909646204
A,A: no dedup + stratified random split,8,2,0.5,988.9436077999999,0.9154826339982352,0.9763488666505908,0.9873228933631618,0.9210526315789473,0.8076923076923077,0.860655737704918,0.927007556352459,0.9869270585017298
A,A: no dedup + stratified random split,9,3,0.15,1236.9436641000011,0.9373143964630624,0.9949647335423197,0.9914243102162565,0.9572649572649573,0.8615384615384616,0.9068825910931174,0.9511938849544148,0.9912095276583905
B,B: exact dedup + stratified random split,0,2,0.05,880.0027460000001,0.8356337947254355,0.9563718512100019,0.9835581787521079,0.8953488372093024,0.719626168224299,0.7979274611398963,0.8946789579924926,0.982701609850799
