threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.05,0.9421487603305785,0.8769230769230769,0.9083665338645418,7,16,2545,114,0.9519340981468221,0.9914243102162565
0.1,0.9421487603305785,0.8769230769230769,0.9083665338645418,7,16,2545,114,0.9519340981468221,0.9914243102162565
0.15,0.9491525423728814,0.8615384615384616,0.9032258064516129,6,18,2546,112,0.949267320739489,0.9910514541387024
0.2,0.9491525423728814,0.8615384615384616,0.9032258064516129,6,18,2546,112,0.949267320739489,0.9910514541387024
0.25,0.9491525423728814,0.8615384615384616,0.9032258064516129,6,18,2546,112,0.949267320739489,0.9910514541387024
0.3,0.9491525423728814,0.8615384615384616,0.9032258064516129,6,18,2546,112,0.949267320739489,0.9910514541387024
0.35,0.9491525423728814,0.8615384615384616,0.9032258064516129,6,18,2546,112,0.949267320739489,0.9910514541387024
0.4,0.9487179487179487,0.8538461538461538,0.8987854251012146,6,19,2546,111,0.946949874950451,0.9906785980611484
0.45,0.9487179487179487,0.8538461538461538,0.8987854251012146,6,19,2546,111,0.946949874950451,0.9906785980611484
0.5,0.9487179487179487,0.8538461538461538,0.8987854251012146,6,19,2546,111,0.946949874950451,0.9906785980611484
0.55,0.9487179487179487,0.8538461538461538,0.8987854251012146,6,19,2546,111,0.946949874950451,0.9906785980611484
0.6,0.9482758620689655,0.8461538461538461,0.8943089430894309,6,20,2546,110,0.9446144168358448,0.9903057419835943
0.65,0.9482758620689655,0.8461538461538461,0.8943089430894309,6,20,2546,110,0.9446144168358448,0.9903057419835943
0.7,0.9482758620689655,0.8461538461538461,0.8943089430894309,6,20,2546,110,0.9446144168358448,0.9903057419835943
0.75,0.9482758620689655,0.8461538461538461,0.8943089430894309,6,20,2546,110,0.9446144168358448,0.9903057419835943
0.8,0.9482758620689655,0.8461538461538461,0.8943089430894309,6,20,2546,110,0.9446144168358448,0.9903057419835943
0.85,0.9482758620689655,0.8461538461538461,0.8943089430894309,6,20,2546,110,0.9446144168358448,0.9903057419835943
0.9,0.9473684210526315,0.8307692307692308,0.8852459016393442,6,22,2546,108,0.9398885758196721,0.9895600298284862
0.95,0.9553571428571429,0.823076923076923,0.8842975206611571,5,23,2547,107,0.9394154530287433,0.9895600298284862
