threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.05,0.7876106194690266,0.8317757009345794,0.8090909090909091,24,18,2240,89,0.8999014916971573,0.9822859552931252
0.1,0.8055555555555556,0.8130841121495327,0.8093023255813954,21,20,2243,87,0.9001227775466067,0.9827077182623366
0.15,0.8207547169811321,0.8130841121495327,0.8169014084507042,19,20,2245,87,0.904145118003228,0.9835512442007591
0.2,0.8207547169811321,0.8130841121495327,0.8169014084507042,19,20,2245,87,0.904145118003228,0.9835512442007591
0.25,0.8207547169811321,0.8130841121495327,0.8169014084507042,19,20,2245,87,0.904145118003228,0.9835512442007591
0.3,0.8285714285714286,0.8130841121495327,0.8207547169811321,18,20,2246,87,0.9061830980049148,0.9839730071699705
0.35,0.8333333333333334,0.794392523364486,0.8133971291866029,17,22,2247,85,0.9023967776972062,0.9835512442007591
0.4,0.8333333333333334,0.794392523364486,0.8133971291866029,17,22,2247,85,0.9023967776972062,0.9835512442007591
0.45,0.8333333333333334,0.794392523364486,0.8133971291866029,17,22,2247,85,0.9023967776972062,0.9835512442007591
0.5,0.8333333333333334,0.794392523364486,0.8133971291866029,17,22,2247,85,0.9023967776972062,0.9835512442007591
0.55,0.8333333333333334,0.794392523364486,0.8133971291866029,17,22,2247,85,0.9023967776972062,0.9835512442007591
0.6,0.8415841584158416,0.794392523364486,0.8173076923076923,16,22,2248,85,0.9044632859421126,0.9839730071699705
0.65,0.8415841584158416,0.794392523364486,0.8173076923076923,16,22,2248,85,0.9044632859421126,0.9839730071699705
0.7,0.8585858585858586,0.794392523364486,0.8252427184466019,14,22,2250,85,0.9086531052550471,0.9848165331083931
0.75,0.8585858585858586,0.794392523364486,0.8252427184466019,14,22,2250,85,0.9086531052550471,0.9848165331083931
0.8,0.8762886597938144,0.794392523364486,0.8333333333333334,12,22,2252,85,0.9129205229910387,0.9856600590468156
0.85,0.8762886597938144,0.794392523364486,0.8333333333333334,12,22,2252,85,0.9129205229910387,0.9856600590468156
0.9,0.8723404255319149,0.7663551401869159,0.8159203980099502,12,25,2252,82,0.9038862064923128,0.9843947701391818
0.95,0.8709677419354839,0.7570093457943925,0.81,12,26,2252,81,0.9008168207837957,0.9839730071699705
