threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.05,0.84,0.7850467289719626,0.8115942028985508,16,23,2248,84,0.9014972117028586,0.9835512442007591
0.1,0.8571428571428571,0.7850467289719626,0.8195121951219512,14,23,2250,84,0.9056785132541649,0.9843947701391818
0.15,0.8556701030927835,0.7757009345794392,0.8137254901960784,14,24,2250,83,0.9026758786370432,0.9839730071699705
0.2,0.8556701030927835,0.7757009345794392,0.8137254901960784,14,24,2250,83,0.9026758786370432,0.9839730071699705
0.25,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.3,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.35,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.4,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.45,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.5,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.55,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.6,0.8645833333333334,0.7757009345794392,0.8177339901477833,13,24,2251,83,0.9047912074554735,0.9843947701391818
0.65,0.8631578947368421,0.7663551401869159,0.8118811881188119,13,25,2251,82,0.9017555720329742,0.9839730071699705
0.7,0.8631578947368421,0.7663551401869159,0.8118811881188119,13,25,2251,82,0.9017555720329742,0.9839730071699705
0.75,0.8631578947368421,0.7663551401869159,0.8118811881188119,13,25,2251,82,0.9017555720329742,0.9839730071699705
0.8,0.8631578947368421,0.7663551401869159,0.8118811881188119,13,25,2251,82,0.9017555720329742,0.9839730071699705
0.85,0.8617021276595744,0.7570093457943925,0.8059701492537313,13,26,2251,81,0.898690866302708,0.9835512442007591
0.9,0.8709677419354839,0.7570093457943925,0.81,12,26,2252,81,0.9008168207837957,0.9839730071699705
0.95,0.8804347826086957,0.7570093457943925,0.8140703517587939,11,26,2253,81,0.9029629768919438,0.9843947701391818
