record_id,label,outer_split,development_split
emscad_00001,0,train,train
emscad_00002,0,train,train
emscad_00003,0,train,train
emscad_00004,0,test,test
emscad_00005,0,train,validation
emscad_00006,0,train,train
emscad_00007,0,train,train
emscad_00008,0,test,test
emscad_00009,0,test,test
emscad_00010,0,train,train
emscad_00011,0,test,test
emscad_00012,0,train,train
emscad_00013,0,train,train
emscad_00014,0,train,train
emscad_00015,0,train,validation
emscad_00016,0,train,train
emscad_00017,0,train,train
emscad_00018,0,train,train
emscad_00019,0,train,train
emscad_00020,0,train,train
emscad_00021,0,train,train
emscad_00022,0,train,train
emscad_00023,0,train,train
emscad_00024,0,train,train
emscad_00025,0,train,validation
emscad_00026,0,train,train
emscad_00027,0,train,train
emscad_00028,0,train,train
emscad_00029,0,train,train
emscad_00030,0,train,train
emscad_00031,0,test,test
emscad_00032,0,test,test
emscad_00033,0,test,test
emscad_00034,0,train,train
emscad_00035,0,train,train
emscad_00036,0,test,test
emscad_00037,0,train,validation
emscad_00038,0,train,validation
emscad_00039,0,test,test
emscad_00040,0,train,validation
emscad_00041,0,train,validation
emscad_00042,0,test,test
emscad_00043,0,test,test
emscad_00044,0,train,train
emscad_00045,0,train,validation
emscad_00046,0,train,validation
emscad_00047,0,train,train
emscad_00048,0,train,train
emscad_00049,0,train,validation
emscad_00050,0,train,train
emscad_00051,0,test,test
emscad_00052,0,train,train
emscad_00053,0,test,test
emscad_00054,0,train,train
emscad_00055,0,train,train
emscad_00056,0,train,train
emscad_00057,0,train,train
emscad_00058,0,train,train
emscad_00059,0,train,validation
emscad_00060,0,train,train
emscad_00061,0,train,train
emscad_00062,0,train,validation
emscad_00063,0,train,train
emscad_00064,0,test,test
emscad_00065,0,train,validation
emscad_00066,0,train,train
emscad_00067,0,train,validation
emscad_00068,0,train,validation
emscad_00069,0,train,train
emscad_00070,0,test,test
emscad_00071,0,train,train
emscad_00072,0,train,validation
emscad_00073,0,test,test
emscad_00074,0,test,test
emscad_00075,0,test,test
emscad_00076,0,test,test
emscad_00077,0,train,validation
emscad_00078,0,train,train
emscad_00079,0,train,train
emscad_00080,0,train,train
emscad_00081,0,train,validation
emscad_00082,0,test,test
emscad_00083,0,train,train
emscad_00084,0,train,train
emscad_00085,0,train,train
emscad_00086,0,train,train
emscad_00087,0,train,train
emscad_00088,0,train,validation
emscad_00089,0,train,train
emscad_00090,0,train,train
emscad_00091,0,train,train
emscad_00092,0,train,train
emscad_00093,0,test,test
emscad_00094,0,train,train
emscad_00095,0,train,train
emscad_00096,0,train,validation
emscad_00097,0,test,test
emscad_00098,0,train,train
emscad_00099,1,test,test
emscad_00100,0,test,test
emscad_00101,0,test,test
emscad_00102,0,train,train
emscad_00103,0,test,test
emscad_00104,0,train,validation
emscad_00105,0,train,train
emscad_00106,0,train,train
emscad_00107,0,train,train
emscad_00108,0,train,validation
emscad_00109,0,test,test
emscad_00110,0,train,train
emscad_00111,0,test,test
emscad_00112,0,train,train
emscad_00113,0,train,train
emscad_00114,0,test,test
emscad_00115,0,train,train
emscad_00116,0,train,train
emscad_00117,0,test,test
emscad_00118,0,train,train
emscad_00119,0,train,train
emscad_00120,0,train,train
emscad_00121,0,train,train
emscad_00122,0,train,train
emscad_00123,0,train,train
emscad_00124,0,train,train
emscad_00125,0,test,test
emscad_00126,0,train,train
emscad_00127,0,train,train
emscad_00128,0,train,train
emscad_00129,0,train,validation
emscad_00130,0,train,train
emscad_00131,0,train,train
emscad_00132,0,train,train
emscad_00133,0,test,test
emscad_00134,0,train,train
emscad_00135,0,train,train
emscad_00136,0,train,validation
emscad_00137,0,train,train
emscad_00138,0,train,train
emscad_00139,0,test,test
emscad_00140,0,train,train
emscad_00141,0,train,validation
emscad_00142,0,test,test
emscad_00143,0,train,train
emscad_00144,0,train,validation
emscad_00145,1,test,test
emscad_00146,0,train,train
emscad_00147,0,train,train
emscad_00148,0,train,train
emscad_00149,0,train,train
emscad_00150,0,train,train
emscad_00151,0,train,train
emscad_00152,0,train,train
emscad_00153,0,train,validation
emscad_00154,0,train,validation
emscad_00155,0,train,train
emscad_00156,0,train,train
emscad_00157,0,train,validation
emscad_00158,0,train,train
emscad_00159,0,train,train
emscad_00160,0,train,train
emscad_00161,0,train,train
emscad_00162,0,train,train
emscad_00163,0,train,train
emscad_00164,0,train,validation
emscad_00165,0,train,train
emscad_00166,0,train,train
emscad_00167,0,train,train
emscad_00168,0,test,test
emscad_00169,0,train,train
emscad_00170,0,train,train
emscad_00171,0,train,train
emscad_00172,0,train,train
emscad_00173,0,train,train
emscad_00174,1,train,train
emscad_00175,0,train,train
emscad_00176,0,train,train
emscad_00177,0,train,train
emscad_00178,0,train,train
emscad_00179,0,train,train
emscad_00180,0,train,validation
emscad_00181,1,train,validation
emscad_00182,0,train,train
emscad_00183,0,train,train
emscad_00184,0,test,test
emscad_00185,0,train,validation
emscad_00186,0,train,train
emscad_00187,0,train,train
emscad_00188,0,train,train
emscad_00189,0,train,train
emscad_00190,0,train,train
emscad_00191,0,train,train
emscad_00192,0,train,validation
emscad_00193,0,train,train
emscad_00194,0,train,train
emscad_00195,0,train,train
emscad_00196,0,train,train
emscad_00197,0,train,validation
emscad_00198,0,train,train
emscad_00199,0,train,train
emscad_00200,0,train,train
emscad_00201,0,test,test
emscad_00202,0,test,test
emscad_00203,0,train,train
emscad_00204,0,train,train
emscad_00205,0,train,train
emscad_00206,0,train,train
emscad_00207,0,train,validation
emscad_00208,0,train,validation
emscad_00209,0,train,train
emscad_00210,0,train,train
emscad_00211,0,train,train
emscad_00212,0,train,train
emscad_00213,0,train,train
emscad_00214,0,train,validation
emscad_00215,0,train,train
emscad_00216,1,test,test
emscad_00217,0,train,train
emscad_00218,0,test,test
emscad_00219,0,train,train
emscad_00220,0,train,train
emscad_00221,0,train,train
emscad_00222,0,train,train
emscad_00223,0,train,train
emscad_00224,0,train,train
emscad_00225,0,train,train
emscad_00226,0,train,train
emscad_00227,0,train,validation
emscad_00228,0,train,train
emscad_00229,0,train,train
emscad_00230,0,train,train
emscad_00231,0,train,train
emscad_00232,0,train,train
emscad_00233,0,train,train
emscad_00234,0,train,train
emscad_00235,0,train,train
emscad_00236,0,test,test
emscad_00237,0,test,test
emscad_00238,0,train,train
emscad_00239,0,train,train
emscad_00240,0,train,train
emscad_00241,0,train,train
emscad_00242,0,train,train
emscad_00243,0,train,validation
emscad_00244,0,train,validation
emscad_00245,0,train,validation
emscad_00246,0,train,validation
emscad_00247,0,train,validation
emscad_00248,0,train,train
emscad_00249,0,test,test
emscad_00250,0,train,train
emscad_00251,0,train,train
emscad_00252,0,train,train
emscad_00253,0,train,validation
emscad_00254,0,train,validation
emscad_00255,0,train,validation
emscad_00256,0,train,validation
emscad_00257,0,test,test
