condition,seed,train_rows,validation_rows,holdout_rows,train_fraud,validation_fraud,holdout_fraud,threshold,cross_split_exact_groups,cross_split_fraud_exact_groups,cross_split_legitimate_exact_groups,rows_in_cross_split_exact_groups,train_validation_exact_groups,train_holdout_exact_groups,validation_holdout_exact_groups,validation_rows_matching_train,validation_fraud_rows_matching_train,validation_legitimate_rows_matching_train,holdout_rows_matching_train,holdout_fraud_rows_matching_train,holdout_legitimate_rows_matching_train,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,tn,fp,fn,tp
A: no dedup + stratified random split,0,12516,2682,2682,606,130,130,0.6785794115907111,410,25,385,2069,233,231,96,375,24,351,379,29,350,0.9369837273930699,0.9938750904268145,0.988441461595824,0.9541284403669725,0.8,0.8702928870292888,0.9321220532707419,2547,5,26,104
A: no dedup + stratified random split,1,12516,2682,2682,606,130,130,0.7244198274197334,416,28,388,2077,236,220,92,380,34,346,349,27,322,0.8927943999962342,0.9772847841813359,0.9850857568978374,0.9411764705882353,0.7384615384615385,0.8275862068965517,0.9098959873142151,2546,6,34,96
A: no dedup + stratified random split,2,12516,2682,2682,606,130,130,0.7220016668336585,421,29,392,2081,215,252,94,338,24,314,401,28,373,0.9217069814196206,0.991406438389197,0.9862043251304996,0.926605504587156,0.7769230769230769,0.8451882845188284,0.9189843861618532,2544,8,29,101
A: no dedup + stratified random split,3,12516,2682,2682,606,130,130,0.566858829278603,412,26,386,2052,241,216,95,380,24,356,334,21,313,0.9309495728814147,0.9892753797926213,0.9862043251304996,0.8549618320610687,0.8615384615384616,0.8582375478927203,0.9254934555062269,2533,19,18,112
A: no dedup + stratified random split,4,12516,2682,2682,606,130,130,0.6440205574985541,426,28,398,2081,228,242,86,396,36,360,374,30,344,0.8860679911890702,0.9764980708946227,0.9839671886651753,0.9306930693069307,0.7230769230769231,0.8138528138528138,0.9027378232521424,2545,7,36,94
A: no dedup + stratified random split,5,12516,2682,2682,606,130,130,0.6726311855641177,416,27,389,2077,226,227,93,376,26,350,365,28,337,0.896734402549605,0.9803321678321679,0.9862043251304996,0.9428571428571428,0.7615384615384615,0.8425531914893617,0.9176696548205241,2546,6,31,99
A: no dedup + stratified random split,6,12516,2682,2682,606,130,130,0.6619693796674948,400,24,376,2064,231,227,106,362,23,339,358,25,333,0.872799001834952,0.9805793344586449,0.9821029082774049,0.9019607843137255,0.7076923076923077,0.7931034482758621,0.8918751847770581,2542,10,38,92
A: no dedup + stratified random split,7,12516,2682,2682,606,130,130,0.592966989044867,437,19,418,2118,241,232,92,385,21,364,375,21,354,0.8632646983635337,0.9714251265975404,0.9869500372856077,0.9523809523809523,0.7692307692307693,0.851063829787234,0.9221199437491444,2547,5,30,100
A: no dedup + stratified random split,8,12516,2682,2682,606,130,130,0.5735777500614203,417,26,391,2080,218,233,96,380,23,357,378,32,346,0.9260772521303566,0.9889769713045574,0.9876957494407159,0.907563025210084,0.8307692307692308,0.8674698795180723,0.9305091333074232,2541,11,22,108
A: no dedup + stratified random split,9,12516,2682,2682,606,130,130,0.715020133035734,437,26,411,2125,225,251,87,378,27,351,385,32,353,0.9437813222121865,0.9932511454063179,0.9895600298284862,0.9722222222222222,0.8076923076923077,0.8823529411764706,0.9384452961832411,2549,3,25,105
