condition,model,seed,train_rows,validation_rows,holdout_rows,train_fraud,validation_fraud,holdout_fraud,threshold,cross_split_exact_groups,cross_split_fraud_exact_groups,cross_split_legitimate_exact_groups,rows_in_cross_split_exact_groups,train_validation_exact_groups,train_holdout_exact_groups,validation_holdout_exact_groups,validation_rows_matching_train,validation_fraud_rows_matching_train,validation_legitimate_rows_matching_train,holdout_rows_matching_train,holdout_fraud_rows_matching_train,holdout_legitimate_rows_matching_train,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,tn,fp,fn,tp
A: no dedup + stratified random split,linear_svm,0,12516,2682,2682,606,130,130,0.7199188197802565,410,25,385,2069,233,231,96,375,24,351,379,29,350,0.9437751632482057,0.9925066312997347,0.9925428784489188,0.9741379310344828,0.8692307692307693,0.9186991869918699,0.9573957052583422,2549,3,17,113
A: no dedup + stratified random split,linear_svm,1,12516,2682,2682,606,130,130,0.3541217830472602,416,28,388,2077,236,220,92,380,34,346,349,27,322,0.9225765285311276,0.9760368941403423,0.9888143176733781,0.9098360655737705,0.8538461538461538,0.8809523809523809,0.937541918175721,2541,11,19,111
A: no dedup + stratified random split,linear_svm,2,12516,2682,2682,606,130,130,0.6778611625736802,421,29,392,2081,215,252,94,338,24,314,401,28,373,0.9523766779566755,0.9945171208102243,0.9910514541387024,0.9732142857142857,0.8384615384615385,0.9008264462809917,0.9480703883103514,2549,3,21,109
A: no dedup + stratified random split,linear_svm,3,12516,2682,2682,606,130,130,0.27723047260124867,412,26,386,2052,241,216,95,380,24,356,334,21,313,0.9508959588896047,0.9944477935857247,0.9903057419835943,0.8880597014925373,0.9153846153846154,0.9015151515151515,0.9482085561497327,2537,15,11,119
A: no dedup + stratified random split,linear_svm,4,12516,2682,2682,606,130,130,0.7584046396467645,426,28,398,2081,228,242,86,396,36,360,374,30,344,0.8996853892574614,0.9732879189775743,0.9865771812080537,0.9607843137254902,0.7538461538461538,0.8448275862068966,0.9189063885827935,2548,4,32,98
A: no dedup + stratified random split,linear_svm,5,12516,2682,2682,606,130,130,0.5837123911840001,416,27,389,2077,226,227,93,376,26,350,365,28,337,0.9168034499523912,0.9809983120327948,0.988441461595824,0.9304347826086956,0.823076923076923,0.8734693877551021,0.9337067587339682,2544,8,23,107
A: no dedup + stratified random split,linear_svm,6,12516,2682,2682,606,130,130,0.35921670249166116,400,24,376,2064,231,227,106,362,23,339,358,25,333,0.9031196758874636,0.9844496021220159,0.9880686055182699,0.9375,0.8076923076923077,0.8677685950413223,0.9307605177471352,2545,7,25,105
A: no dedup + stratified random split,linear_svm,7,12516,2682,2682,606,130,130,0.38427988045139816,437,19,418,2118,241,232,92,385,21,364,375,21,354,0.8976016091764804,0.9733391608391609,0.9865771812080537,0.9433962264150944,0.7692307692307693,0.847457627118644,0.9202186731537059,2546,6,30,100
A: no dedup + stratified random split,linear_svm,8,12516,2682,2682,606,130,130,0.4044478411581807,417,26,391,2080,218,233,96,380,23,357,378,32,346,0.9423147506428505,0.9854352544007717,0.9917971662938105,0.9655172413793104,0.8615384615384616,0.9105691056910569,0.9531352757841763,2548,4,18,112
A: no dedup + stratified random split,linear_svm,9,12516,2682,2682,606,130,130,0.35918803523099785,437,26,411,2125,225,251,87,378,27,351,385,32,353,0.9466484703383248,0.9906709669640705,0.9917971662938105,0.9285714285714286,0.9,0.9140625,0.9548777652701644,2543,9,13,117
