condition,model,seed,train_rows,validation_rows,holdout_rows,train_fraud,validation_fraud,holdout_fraud,threshold,cross_split_near_groups,cross_split_fraud_near_groups,cross_split_legitimate_near_groups,rows_in_cross_split_near_groups,train_validation_near_groups,train_holdout_near_groups,validation_holdout_near_groups,validation_rows_group_matching_train,validation_fraud_rows_group_matching_train,validation_legitimate_rows_group_matching_train,holdout_rows_group_matching_train,holdout_fraud_rows_group_matching_train,holdout_legitimate_rows_group_matching_train,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,tn,fp,fn,tp
B: exact dedup + stratified random split,logistic_regression,0,11064,2371,2372,498,107,107,0.6676390616462083,347,22,325,1120,179,170,58,236,9,227,206,11,195,0.8746895769343425,0.9758618555424893,0.9852445193929174,0.9090909090909091,0.7476635514018691,0.8205128205128205,0.9064094109158958,2257,8,27,80
B: exact dedup + stratified random split,logistic_regression,1,11064,2371,2372,498,107,107,0.7010855574689606,336,16,320,1075,174,175,63,224,11,213,215,5,210,0.8705207039336536,0.9832188318788553,0.9844013490725126,0.9605263157894737,0.6822429906542056,0.7978142076502732,0.8948509757830405,2262,3,34,73
B: exact dedup + stratified random split,logistic_regression,2,11064,2371,2372,498,107,107,0.538737000809468,351,23,328,1118,179,197,57,235,6,229,235,15,220,0.9212486854905473,0.9879102968785459,0.9835581787521079,0.8090909090909091,0.8317757009345794,0.8202764976958525,0.9058307604450104,2244,21,18,89
B: exact dedup + stratified random split,logistic_regression,3,11064,2371,2372,498,107,107,0.5780710486422079,326,17,309,1065,154,184,52,193,9,184,226,8,218,0.8908138943504584,0.9784819789152278,0.9835581787521079,0.8333333333333334,0.794392523364486,0.8133971291866029,0.9023986748468846,2248,17,22,85
B: exact dedup + stratified random split,logistic_regression,4,11064,2371,2372,498,107,107,0.6190868988486752,342,21,321,1099,157,200,57,196,10,186,231,10,221,0.9259358561808518,0.9894741185451094,0.9903035413153457,0.9375,0.8411214953271028,0.8866995073891626,0.9408172718623857,2259,6,17,90
B: exact dedup + stratified random split,logistic_regression,5,11064,2371,2372,498,107,107,0.5822793595938668,367,21,346,1165,188,185,70,233,9,224,215,13,202,0.858799641089597,0.9797693466196282,0.9818718381112985,0.8333333333333334,0.7476635514018691,0.7881773399014779,0.8893540300035907,2249,16,27,80
B: exact dedup + stratified random split,logistic_regression,6,11064,2371,2372,498,107,107,0.6389003889484988,352,22,330,1112,173,183,60,209,13,196,219,9,210,0.8786629581633648,0.9783334364877968,0.9860876897133221,0.9204545454545454,0.7570093457943925,0.8307692307692308,0.9117574445778447,2258,7,26,81
B: exact dedup + stratified random split,logistic_regression,7,11064,2371,2372,498,107,107,0.7055252486677757,342,22,320,1126,174,180,50,217,7,210,219,14,205,0.8962215414193229,0.9863134657836644,0.9839797639123102,0.96,0.6728971962616822,0.7912087912087912,0.8914395556219318,2262,3,35,72
B: exact dedup + stratified random split,logistic_regression,8,11064,2371,2372,498,107,107,0.6372129964567016,359,26,333,1148,168,190,57,200,13,187,225,11,214,0.8712500216408804,0.988186750840709,0.9831365935919055,0.8941176470588236,0.7102803738317757,0.7916666666666666,0.8914396602226127,2256,9,31,76
B: exact dedup + stratified random split,logistic_regression,9,11064,2371,2372,498,107,107,0.5929639304048354,361,24,337,1134,187,186,54,238,11,227,224,11,213,0.8676025406965734,0.9859503620721668,0.9822934232715008,0.8282828282828283,0.7663551401869159,0.7961165048543689,0.8934306631808204,2248,17,25,82
