condition,model,seed,train_rows,validation_rows,holdout_rows,train_fraud,validation_fraud,holdout_fraud,threshold,cross_split_near_groups,cross_split_fraud_near_groups,cross_split_legitimate_near_groups,rows_in_cross_split_near_groups,train_validation_near_groups,train_holdout_near_groups,validation_holdout_near_groups,validation_rows_group_matching_train,validation_fraud_rows_group_matching_train,validation_legitimate_rows_group_matching_train,holdout_rows_group_matching_train,holdout_fraud_rows_group_matching_train,holdout_legitimate_rows_group_matching_train,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,tn,fp,fn,tp
B: exact dedup + stratified random split,linear_svm,0,11064,2371,2372,498,107,107,0.5991012960415708,347,22,325,1120,179,170,58,236,9,227,206,11,195,0.8872007054457084,0.978688287842215,0.9865092748735245,0.9120879120879121,0.7757009345794392,0.8383838383838383,0.9156723415412373,2257,8,24,83
B: exact dedup + stratified random split,linear_svm,1,11064,2371,2372,498,107,107,0.36782650273993867,336,16,320,1075,174,175,63,224,11,213,215,5,210,0.9073431347983257,0.9870025375998019,0.9873524451939292,0.9325842696629213,0.7757009345794392,0.8469387755102041,0.9201712347208013,2259,6,24,83
B: exact dedup + stratified random split,linear_svm,2,11064,2371,2372,498,107,107,0.3005798916769042,351,23,328,1118,179,197,57,235,6,229,235,15,220,0.9456072757033913,0.9859833715004848,0.989460370994941,0.8942307692307693,0.8691588785046729,0.8815165876777251,0.9380007381362374,2254,11,14,93
B: exact dedup + stratified random split,linear_svm,3,11064,2371,2372,498,107,107,0.43768835997011823,326,17,309,1065,154,184,52,193,9,184,226,8,218,0.9244297279758845,0.9806936106125311,0.9886172006745363,0.8921568627450981,0.8504672897196262,0.8708133971291866,0.9324298518170739,2254,11,16,91
B: exact dedup + stratified random split,linear_svm,4,11064,2371,2372,498,107,107,0.4938533039814345,342,21,321,1099,157,200,57,196,10,186,231,10,221,0.9415656610962878,0.9859379835365476,0.9898819561551433,0.9191919191919192,0.8504672897196262,0.883495145631068,0.939103236103326,2257,8,16,91
B: exact dedup + stratified random split,linear_svm,5,11064,2371,2372,498,107,107,0.43931428512401316,367,21,346,1165,188,185,70,233,9,224,215,13,202,0.8884973868335864,0.9802521095087784,0.9852445193929174,0.8829787234042553,0.7757009345794392,0.8258706467661692,0.909083243259818,2254,11,24,83
B: exact dedup + stratified random split,linear_svm,6,11064,2371,2372,498,107,107,0.6523109418659857,352,22,330,1112,173,183,60,209,13,196,219,9,210,0.8968138661544708,0.9793237193373358,0.9860876897133221,0.9404761904761905,0.7383177570093458,0.8272251308900523,0.9099885812587754,2260,5,28,79
B: exact dedup + stratified random split,linear_svm,7,11064,2371,2372,498,107,107,0.7415115715800444,342,22,320,1126,174,180,50,217,7,210,219,14,205,0.9325898058927774,0.9899197458274019,0.9873524451939292,1.0,0.719626168224299,0.8369565217391305,0.9151887871853548,2265,0,30,77
B: exact dedup + stratified random split,linear_svm,8,11064,2371,2372,498,107,107,0.6905790833576722,359,26,333,1148,168,190,57,200,13,187,225,11,214,0.9221431464042076,0.9921520084174043,0.9856661045531198,0.9397590361445783,0.7289719626168224,0.8210526315789474,0.9067933337956221,2260,5,29,78
B: exact dedup + stratified random split,linear_svm,9,11064,2371,2372,498,107,107,0.24365507764607697,361,24,337,1134,187,186,54,238,11,227,224,11,213,0.8959243582458384,0.9884219430174743,0.9852445193929174,0.839622641509434,0.8317757009345794,0.8356807511737089,0.9139780935299133,2248,17,18,89
