condition,model,seed,train_rows,validation_rows,holdout_rows,train_fraud,validation_fraud,holdout_fraud,threshold,cross_split_near_groups,train_groups,train_fraud_groups,train_largest_group,validation_groups,validation_fraud_groups,validation_largest_group,holdout_groups,holdout_fraud_groups,holdout_largest_group,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,tn,fp,fn,tp
C: exact dedup + group-aware split,logistic_regression,0,11065,2371,2371,498,107,107,0.5994413751995894,0,10317,458,31,2137,103,82,2219,100,9,0.8730231287685273,0.979727386810211,0.9843947701391818,0.85,0.794392523364486,0.821256038647343,0.9065486367437376,2249,15,22,85
C: exact dedup + group-aware split,logistic_regression,1,11065,2371,2371,498,107,107,0.6122046775658504,0,10241,462,82,2242,97,6,2190,102,12,0.8750964824960578,0.982827515603844,0.9839730071699705,0.8791208791208791,0.7476635514018691,0.8080808080808081,0.899859066012235,2253,11,27,80
C: exact dedup + group-aware split,logistic_regression,2,11065,2371,2371,498,107,107,0.49753336422887934,0,10324,464,31,2187,97,19,2162,100,82,0.8628044283170163,0.9809079951124468,0.9797553774778575,0.7657657657657657,0.794392523364486,0.7798165137614679,0.8846032170929355,2238,26,22,85
C: exact dedup + group-aware split,logistic_regression,3,11065,2371,2371,498,107,107,0.6387130624745018,0,10344,461,19,2181,99,31,2148,101,82,0.9256491865469099,0.9896263333443412,0.9894559257697174,0.9659090909090909,0.794392523364486,0.8717948717948718,0.933148370579644,2261,3,22,85
C: exact dedup + group-aware split,logistic_regression,4,11064,2371,2372,498,107,107,0.6829358974138576,0,10299,460,82,2176,102,31,2198,99,19,0.861762449495634,0.9837882445173403,0.9827150084317032,0.9024390243902439,0.6915887850467289,0.783068783068783,0.887033842686971,2257,8,33,74
C: exact dedup + group-aware split,logistic_regression,5,11046,2409,2352,498,107,107,0.49337124304832825,0,10303,466,31,2177,97,82,2193,98,10,0.8846919802941108,0.9842932373082447,0.9795918367346939,0.7521367521367521,0.822429906542056,0.7857142857142857,0.8875,2216,29,19,88
C: exact dedup + group-aware split,logistic_regression,6,11065,2371,2371,498,107,107,0.5069543728290719,0,10266,464,82,2212,99,19,2195,98,12,0.8048628403632372,0.9737294012747267,0.9713201180936314,0.6695652173913044,0.719626168224299,0.6936936936936937,0.8393247229530416,2226,38,30,77
C: exact dedup + group-aware split,logistic_regression,7,11066,2371,2370,499,107,106,0.7328980588518451,0,10331,470,31,2223,92,9,2119,99,82,0.8943154513348146,0.9781902126808454,0.9848101265822785,0.972972972972973,0.6792452830188679,0.8,0.8960526315789474,2262,2,34,72
C: exact dedup + group-aware split,logistic_regression,8,11065,2371,2371,498,107,107,0.60983391914893,0,10327,459,19,2115,98,82,2231,104,9,0.8863477811224458,0.991768765892804,0.9843947701391818,0.8804347826086957,0.7570093457943925,0.8140703517587939,0.9029629768919438,2253,11,26,81
C: exact dedup + group-aware split,logistic_regression,9,11065,2371,2371,498,107,107,0.6106830565049667,0,10370,461,19,2124,99,82,2179,101,31,0.862030948552471,0.9731886331362901,0.9843947701391818,0.8888888888888888,0.7476635514018691,0.8121827411167513,0.9020209635176716,2254,10,27,80
