condition,model,seed,train_rows,validation_rows,holdout_rows,train_fraud,validation_fraud,holdout_fraud,threshold,cross_split_near_groups,train_groups,train_fraud_groups,train_largest_group,validation_groups,validation_fraud_groups,validation_largest_group,holdout_groups,holdout_fraud_groups,holdout_largest_group,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,tn,fp,fn,tp
C: exact dedup + group-aware split,linear_svm,0,11065,2371,2371,498,107,107,0.30819910044460946,0,10317,458,31,2137,103,82,2219,100,9,0.8963902011539872,0.9847676761005251,0.9843947701391818,0.8240740740740741,0.8317757009345794,0.827906976744186,0.9098668968103523,2245,19,18,89
C: exact dedup + group-aware split,linear_svm,1,11065,2371,2371,498,107,107,0.3523645302285713,0,10241,462,82,2242,97,6,2190,102,12,0.9029614453843952,0.982402331494997,0.9873471109236609,0.8969072164948454,0.8130841121495327,0.8529411764705882,0.9231651673450341,2254,10,20,87
C: exact dedup + group-aware split,linear_svm,2,11065,2371,2371,498,107,107,0.42271434612514164,0,10324,464,31,2187,97,19,2162,100,82,0.8834524286275613,0.973031769096133,0.9856600590468156,0.8924731182795699,0.7757009345794392,0.83,0.911257155438133,2254,10,24,83
C: exact dedup + group-aware split,linear_svm,3,11065,2371,2371,498,107,107,0.3942944042319775,0,10344,461,19,2181,99,31,2148,101,82,0.9367090278645759,0.9865798685644463,0.9915647406157739,0.9484536082474226,0.8598130841121495,0.9019607843137255,0.9487767782300227,2259,5,15,92
C: exact dedup + group-aware split,linear_svm,4,11064,2371,2372,498,107,107,0.5257018884440462,0,10299,460,82,2176,102,31,2198,99,19,0.9037450136085354,0.9830083967733284,0.9856661045531198,0.8924731182795699,0.7757009345794392,0.83,0.9112588028169014,2255,10,24,83
C: exact dedup + group-aware split,linear_svm,5,11046,2409,2352,498,107,107,0.4010155552844394,0,10303,466,31,2177,97,82,2193,98,10,0.9073694690624787,0.9886018774847533,0.9863945578231292,0.8712871287128713,0.822429906542056,0.8461538461538461,0.9195182042157131,2232,13,19,88
C: exact dedup + group-aware split,linear_svm,6,11065,2371,2371,498,107,107,0.35951898876684263,0,10266,464,82,2212,99,19,2195,98,12,0.8555553449388392,0.9669636075426836,0.9822859552931252,0.8095238095238095,0.794392523364486,0.8018867924528302,0.8963076346370111,2244,20,22,85
C: exact dedup + group-aware split,linear_svm,7,11066,2371,2370,499,107,106,0.6109710588721855,0,10331,470,31,2223,92,9,2119,99,82,0.9055152012979487,0.9766109407293819,0.9898734177215189,0.9456521739130435,0.8207547169811321,0.8787878787878788,0.9367519314679156,2259,5,19,87
C: exact dedup + group-aware split,linear_svm,8,11065,2371,2371,498,107,107,0.4439644176564573,0,10327,459,19,2115,98,82,2231,104,9,0.9244089438101586,0.9950752947392755,0.986081822016027,0.8775510204081632,0.8037383177570093,0.8390243902439024,0.9158754307402012,2252,12,21,86
C: exact dedup + group-aware split,linear_svm,9,11065,2371,2371,498,107,107,0.25301183029093216,0,10370,461,19,2124,99,82,2179,101,31,0.8813257384007238,0.971710808757967,0.9873471109236609,0.8811881188118812,0.8317757009345794,0.8557692307692307,0.924576278375352,2252,12,18,89
